Ranking,Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $)
396,Mamma Mia! (2008),6/27/2008,"$144,169,664.00 ","$467,088,155.00 ","$611,257,819.00 "
400,Kung Fu Panda 3 (2016),1/28/2016,"$143,528,619.00 ","$377,642,206.00 ","$521,170,825.00 "
401,Juno (2007),12/5/2007,"$143,495,265.00 ","$88,877,416.00 ","$232,372,681.00 "
403,The Smurfs (2011),7/27/2011,"$142,614,158.00 ","$421,135,165.00 ","$563,749,323.00 "
404,Once Upon a Time... In Hollywood (2019),7/25/2019,"$142,502,728.00 ","$232,063,026.00 ","$374,565,754.00 "
405,xXx (2002),8/9/2002,"$142,109,382.00 ","$135,339,000.00 ","$277,448,382.00 "
408,A Few Good Men (1992),12/11/1992,"$141,340,178.00 ","$101,900,000.00 ","$243,240,178.00 "
409,Slumdog Millionaire (2008),11/12/2008,"$141,319,928.00 ","$237,090,614.00 ","$378,410,542.00 "
411,The Blair Witch Project (1999),7/16/1999,"$140,539,099.00 ","$108,100,000.00 ","$248,639,099.00 "
414,Ocean's Eight (2018),6/7/2018,"$140,218,711.00 ","$157,500,000.00 ","$297,718,711.00 "
415,Rush Hour 3 (2007),8/8/2007,"$140,125,968.00 ","$117,971,154.00 ","$258,097,122.00 "
416,Stuart Little (1999),12/17/1999,"$140,035,367.00 ","$160,100,000.00 ","$300,135,367.00 "
419,The Matrix Revolutions (2003),11/5/2003,"$139,313,948.00 ","$288,030,377.00 ","$427,344,325.00 "
420,The Santa Clause 2 (2002),11/1/2002,"$139,236,327.00 ","$33,618,738.00 ","$172,855,065.00 "
421,The King's Speech (2010),11/26/2010,"$138,797,449.00 ","$288,576,868.00 ","$427,374,317.00 "
422,Cheaper by the Dozen (2003),12/25/2003,"$138,614,544.00 ","$51,924,086.00 ","$190,538,630.00 "
423,Bad Boys II (2003),7/18/2003,"$138,608,444.00 ","$134,731,112.00 ","$273,339,556.00 "
424,Platoon (1986),12/19/1986,"$138,530,565.00 ","$15,067.00 ","$138,545,632.00 "
427,Split (2016),1/18/2017,"$138,291,365.00 ","$140,163,052.00 ","$278,454,417.00 "
431,The Conjuring (2013),7/18/2013,"$137,400,141.00 ","$182,890,848.00 ","$320,290,989.00 "
432,Click (2006),6/22/2006,"$137,355,633.00 ","$103,329,693.00 ","$240,685,326.00 "
433,The Green Mile (1999),12/10/1999,"$136,801,374.00 ","$150,000,000.00 ","$286,801,374.00 "
438,Chicken Little (2005),11/4/2005,"$135,386,665.00 ","$179,046,172.00 ","$314,432,837.00 "
440,Patch Adams (1998),12/25/1998,"$135,026,902.00 ","$67,266,000.00 ","$202,292,902.00 "
442,Ride Along (2014),1/17/2014,"$134,938,200.00 ","$19,530,702.00 ","$154,468,902.00 "
443,The Incredible Hulk (2008),6/11/2008,"$134,806,913.00 ","$129,964,083.00 ","$264,770,996.00 "
444,Live Free or Die Hard (2007),6/26/2007,"$134,529,403.00 ","$253,626,608.00 ","$388,156,011.00 "
445,Wanted (2008),6/26/2008,"$134,508,551.00 ","$207,954,512.00 ","$342,463,063.00 "
447,Superman (1978),12/15/1978,"$134,451,603.00 ","$166,000,000.00 ","$300,451,603.00 "
448,The Rock (1996),6/7/1996,"$134,069,511.00 ","$200,993,110.00 ","$335,062,621.00 "
